,MKPRU
2438,240.2
2439,241.31
2440,243.08
2442,239.68
2443,239.93
2444,235.13
2446,230.88
2447,230.0
2448,227.86
2449,234.0
2451,230.71
2453,226.56
2455,229.95
2458,232.85
2459,238.94
2462,238.98
2463,237.78
2464,239.17
2465,239.47
2466,239.22
2470,244.78
2471,245.79
2472,248.08
2473,246.63
2475,254.6
2476,254.73
2477,262.31
2478,269.07
2479,262.44
2480,262.44
2482,269.8
2483,269.1
2488,284.95
2489,294.73
2491,310.36
2496,409.0
2497,437.05
2498,400.0
2500,387.38
2502,378.8
2503,353.58
2504,309.9
2505,331.6
2508,322.33
2509,329.32
2511,334.46
2513,320.62
2514,325.56
2515,322.33
2516,324.49
2520,359.54
2521,353.88
2522,363.98
2523,372.53
2524,359.32
2525,360.98
2526,362.49
2527,377.72
2529,390.04
2530,395.58
2532,414.01
2533,415.64
2534,444.29
2538,459.48
2539,454.43
2541,458.95
2542,461.16
2543,434.98
2544,438.7
2545,435.98
2548,454.98
2551,423.98
2553,428.0
2554,429.34
2555,432.33
2556,433.94
2557,428.13
2558,433.0
2560,430.75
2561,453.71
2562,447.04
2563,450.15
2564,446.24
2565,447.11
2566,446.66
2568,431.9
2569,391.62
2572,385.28
2573,378.66
2574,408.33
2575,408.0
2577,388.5
2578,404.75
2580,394.12
2581,394.45
2582,382.44
2586,372.0
2588,368.38
2589,385.06
2590,386.49
2591,373.04
2592,373.74
2593,375.8
2597,381.46
2598,388.6
2600,402.64
2601,406.69
2605,439.48
2606,434.67
2607,438.5
2608,417.0
2609,423.1
2610,421.4
2611,424.34
2612,432.0
2613,433.47
2615,431.87
2617,421.44
2618,416.48
2619,401.0
2620,408.86
2622,412.39
2624,416.0
2626,412.44
2628,414.78
2629,414.78
2631,418.64
2633,405.59
2635,410.49
2636,415.35
2637,417.8
2640,415.71
2644,412.35
2646,416.25
2647,418.07
2650,421.77
2651,421.09
2652,420.33
2653,422.2
2654,417.73
2656,420.69
2658,424.61
2659,423.76
2662,425.71
2663,427.28
2664,435.91
2666,451.0
2668,451.29
2670,463.86
2671,467.98
2672,447.31
2673,450.0
2674,456.16
2677,443.9
2678,450.96
2679,447.37
2682,459.04
2683,457.82
2684,461.63
2685,450.0
2686,452.51
2689,455.65
2692,452.89
2693,452.9
2694,441.87
2695,441.25
2696,443.89
2698,442.17
2701,452.49
2703,522.43
2704,512.16
2705,525.15
2706,531.15
2707,539.47
2708,539.99
2710,573.74
2711,574.02
2714,578.68
2715,575.2941375
2716,577.549875
2717,594.4399875
2718,664.8465
2725,760.81
2726,729.19
2729,624.54
2730,660.6
2733,646.7
2734,646.37
2735,637.95
2736,671.4
2739,658.41
2740,676.32
2741,666.48
2742,673.78
2743,636.35
2744,659.55
2745,651.86
2747,647.98
